hip,ra_deg,dec_deg,v_mag,b_v
6432,20.65397084,1.72633239,6.21,1.482
6486,20.83924370,58.14299378,6.36,0.457
6492,20.85395412,20.46896730,5.97,1.677
6502,20.87898961,-30.94561738,5.84,1.612
6512,20.90614789,34.24588716,6.28,0.829
6514,20.91923378,37.71494260,5.60,0.276
6522,20.94501232,78.72605615,6.07,0.389
6537,21.00585424,-8.18325655,3.60,1.065
6539,21.01057983,-8.00741594,6.21,0.235
6564,21.08542977,-6.91465609,5.92,0.407
6589,21.16638665,-15.66046806,6.17,0.924
6592,21.16994358,-41.49254863,5.42,1.030
6595,21.17464288,-44.52857509,6.26,1.122
6605,21.20283689,-2.84858997,6.17,0.959
6631,21.27211130,-64.36947786,5.92,1.561
6669,21.39865844,23.51151932,6.18,0.447
6670,21.40514554,-14.59879630,4.90,1.231
6685,21.44299695,70.97988747,6.34,-0.011
6686,21.45396795,60.23528317,2.66,0.160
6687,21.46818492,-3.92739073,6.50,1.348
6692,21.48342387,68.13001258,4.72,1.047
6702,21.53660400,34.57970036,6.34,0.500
6706,21.56359189,19.17234565,5.35,0.395
6711,21.57785833,43.45773913,5.98,0.520
6714,21.59831952,20.07080424,6.44,0.947
6717,21.61394786,-0.39903388,6.42,1.241
6732,21.67365999,19.24042201,5.50,1.106
6748,21.71485460,-13.05651201,5.51,0.321
6776,21.77636871,34.37755205,6.27,0.453
6789,21.84712378,-22.33823188,6.43,1.122
6794,21.86113713,41.10115780,6.42,0.311
6813,21.91409059,45.40668716,4.83,0.421
6822,21.94392888,-10.90158210,6.13,1.320
6867,22.09136277,-43.31823391,3.41,1.542
6868,22.09547774,7.96135304,6.22,1.114
6952,22.37724659,-46.75642184,6.25,1.658
6960,22.40056313,-21.62933894,5.11,0.028
6971,22.42839509,-25.61774910,6.37,1.141
6981,22.47026425,18.35566895,6.01,0.162
6999,22.52542734,47.00727374,5.27,0.999
7007,22.54631280,6.14382046,4.84,1.372
7016,22.59543810,-26.20785122,5.92,1.327
7050,22.71716629,66.09808748,6.15,0.070
7078,22.80731710,70.26460388,5.82,0.489
7083,22.81293588,-49.07270222,3.93,0.972
7097,22.87087261,15.34582301,3.62,0.974
7115,22.91252426,-45.57571207,6.17,0.066
7118,22.93020240,-30.28308140,5.79,1.073
7147,23.03156981,34.79996236,6.39,-0.103
7189,23.15152925,-49.72771272,6.27,0.462
7213,23.23355086,-36.86523102,5.49,1.021
7243,23.32615885,8.20873787,6.31,0.800
7251,23.35713347,58.32733390,5.69,1.435
7271,23.41321398,-78.50481991,6.11,0.970
7276,23.42848750,-7.02534086,5.75,0.639
7283,23.46133488,89.01563949,6.46,0.107
7294,23.48282037,59.23204031,4.68,0.991
7321,23.56919364,37.23714649,5.90,-0.067
7345,23.65741154,-15.67635919,5.62,0.066
7359,23.70444113,18.46051216,5.90,1.536
7361,23.71160198,-31.89231708,6.11,1.109
7362,23.71382590,-3.52388948,6.44,1.341
7363,23.71487841,-23.69968149,6.41,1.306
7387,23.81259762,-58.13947470,6.03,0.382
7436,23.94351172,14.66142252,6.23,-0.036
7443,23.96069279,-39.94712622,6.43,0.415
7444,23.96906501,41.07642035,6.39,1.122
7447,23.97815181,17.43384108,5.95,0.259
7450,23.99570321,-15.40018295,5.41,1.226
7463,24.03545682,-29.90731698,5.69,0.335
7493,24.11333240,48.72277606,6.20,1.237
7505,24.18135819,7.83152894,6.39,1.605
7506,24.18664983,-58.27096588,6.18,1.607
7513,24.19934491,41.40545884,4.10,0.536
7535,24.27465281,12.14153479,5.54,0.347
7568,24.36667431,-84.76959317,5.66,0.939
7580,24.40710297,-9.40378181,6.24,0.528
7588,24.42852736,-57.23675749,0.45,-0.158
7593,24.44665914,64.73935708,6.49,0.776
7597,24.46695355,-3.44067786,6.43,1.568
7601,24.48151406,-82.97499539,5.88,0.620
7607,24.49815046,48.62821317,3.59,1.275
7617,24.53152910,57.97763141,5.55,1.388
7643,24.61451877,-36.52825070,5.94,1.045
7650,24.62882287,73.04003987,5.28,0.972
7651,24.63260060,45.39970647,6.38,-0.021
7679,24.71578706,-21.27538422,5.58,0.346
7719,24.83750969,44.38616461,5.01,0.883
7740,24.92007520,16.40585785,5.98,1.119
7751,24.94809594,-56.19640017,5.76,0.880
7786,25.05458773,53.86827769,6.35,1.608
7818,25.14507074,40.57704912,4.96,-0.068
7819,25.14552787,8.76076938,6.34,0.401
7825,25.16520588,43.29768692,5.63,0.214
7874,25.32656287,25.74571250,6.20,0.459
7879,25.33945932,-79.14819995,6.33,0.947
7884,25.35789264,5.48761322,4.45,1.347
7886,25.36383973,-38.13282675,6.20,0.404
7906,25.41348626,30.04711962,5.97,1.015
7916,25.43680768,-11.32466884,5.75,0.443
7918,25.44642903,42.61336900,4.96,0.618
7921,25.44986456,-60.78933951,5.70,1.264
7941,25.51247427,-36.83230480,5.70,-0.010
7943,25.51454276,35.24570709,5.63,-0.059
7955,25.53580826,-32.32697025,5.25,1.044
7963,25.57376400,58.62773872,6.35,-0.027
7965,25.58553014,68.04302111,5.57,-0.049
7978,25.62214875,-53.74083406,5.52,0.551
7981,25.62400804,20.26850445,5.24,0.836
7999,25.68129205,-3.69020048,4.98,1.378
8016,25.73276503,70.62252571,5.18,-0.022
8020,25.74300059,61.42107310,6.33,0.013
8044,25.81876597,45.32264871,6.33,1.020
8046,25.83230667,60.55133256,5.78,-0.010
8068,25.91515608,50.68873247,4.01,-0.098
8086,25.95893420,32.19201473,6.32,0.879
8094,25.97831703,-4.76551450,6.20,1.537
8102,26.01701214,-15.93748006,3.49,0.727
8115,26.07485262,57.53661681,6.18,0.131
8127,26.11052923,46.13969169,6.32,1.419
8143,26.18198670,-6.76616406,6.45,0.864
8148,26.19237649,57.08922600,6.25,0.062
8159,26.23260259,20.08314952,6.27,0.720
8198,26.34846064,9.15773579,4.26,0.942
8209,26.41148804,-25.05260995,5.29,0.395
8230,26.49691854,-5.73329912,5.37,1.517
8233,26.50441117,-27.34883118,6.38,0.366
8240,26.52485968,-50.81625558,5.49,1.615
8241,26.52609562,-53.52203715,5.04,0.031
8320,26.81959761,-41.75992623,6.18,1.544
8362,26.93681135,63.85250114,5.63,0.804
8366,26.94351721,-80.17631110,6.05,0.338
8369,26.94903639,-37.15948299,6.33,1.016
8370,26.95005682,46.22974966,6.33,0.461
8387,27.04556987,16.95555079,5.86,-0.039
8404,27.10841032,3.68544661,5.91,0.970
8423,27.16218592,37.95287011,5.94,0.975
8433,27.17317997,32.69020977,5.78,0.572
8475,27.31476624,47.89692390,6.01,0.170
8480,27.33091931,-31.07246343,6.35,1.222
8497,27.39626131,-10.68641035,4.66,0.333
8514,27.45360060,-38.40279663,6.37,0.523
8544,27.53571352,22.27533825,5.83,0.743
8552,27.58408931,-47.81639165,6.14,0.998
8588,27.71655322,11.04337823,5.92,0.302
8593,27.72681248,-50.20613758,5.94,0.154
8598,27.73803109,51.93341736,5.96,0.419
8641,27.85982087,-39.83593510,6.44,1.094
8645,27.86513997,-10.33503772,3.74,1.136
8664,27.90750025,-6.87414268,6.42,1.233
8688,27.94207702,-15.64748040,6.44,1.608
8704,27.99716741,55.14738474,5.53,-0.175
8714,28.03904598,50.79279388,5.70,-0.067
8771,28.21135160,51.47483640,6.28,0.050
8778,28.21713684,-16.92924975,5.78,0.260
8796,28.27044954,29.57882927,3.42,0.488
8814,28.32226886,40.72978960,5.42,1.311
8820,28.34655315,-38.59463170,6.09,1.125
8832,28.38255961,19.29385177,3.88,-0.047
8833,28.38896000,3.18753653,4.61,0.928
8837,28.41142371,-46.30266861,4.39,1.597
8847,28.45213738,55.59763942,6.44,0.185
8882,28.59180481,-42.49694992,5.12,-0.060
8886,28.59885632,63.67010151,3.35,-0.150
8903,28.66003816,20.80803505,2.64,0.165
8922,28.72409871,40.70203443,6.25,1.262
8928,28.73388091,-67.64730330,4.68,0.931
8930,28.74025279,37.12829014,6.28,1.169
8957,28.83183655,-60.31248410,6.43,0.409
8983,28.94367913,-60.86097516,6.07,0.356
8991,28.96061762,-78.34854847,6.15,0.448
8993,28.96266553,23.57732159,5.76,1.185
8998,28.97429941,1.84998189,6.01,0.549
9001,28.97700236,37.27778569,5.89,1.599
9007,28.98946829,-51.60889586,3.69,0.844
9009,29.00010816,68.68524180,4.97,-0.084
9021,29.03901622,37.25182962,5.69,1.060
